"DISTRITO";"33";"PARTIDO NACIONALISTA CONSTITUCIONAL UNIR";"LA RIOJA";"JUNTA EJECUTIVA PROVINCIAL";"MIEMBRO SUPLENTE";"ORMEÑO";"WALTER JULIO";"10332420";"18/07/2010";"18/07/2012"
"DISTRITO";"198";"ENCUENTRO POR LA DEMOCRACIA Y LA EQUIDAD";"LA PAMPA";"MESA DE CONDUCCION";"ASAMBLEISTA SUPLENTE";"QUINTEROS";"HECTOR OMAR";"10333500";"10/01/2014";"10/01/2016"
"DISTRITO";"182";"PARTIDO DEL FRENTE";"LA PAMPA";"ASAMBLEA PROVINCIAL (SANTA ROSA)";"DELEGADO";"PERALTA";"RAMON A.";"10333552";"11/03/2013";"11/03/2015"
"DISTRITO";"178";"ACCIÓN POR LA REPÚBLICA";"CORDOBA";"JUNTA CENTRAL PROVINCIAL";"VOCAL";"GRANGETTO";"JUAN NICOLAS";"10333910";"SEP.2012 A AGOSTO 2014";
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"CHACO";"CONVENCION PROVINCIAL. LISTA INTERNA, AZUL, NARANJA, MORADA. (RESISTENCIA)";"DELEGADO TITULAR";"LEUNDA";"CARLOS GUIDO";"10335257";"10/12/2013";"10/12/2015"
"DISTRITO";"47";"COALICIÓN CÍVICA-AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA";"CHACO";"COMISIÓN PROVINCIAL";"SECRETARIA DE FINANZAS";"MIEREZ";"SARA ARGENTINA";"10335411";"12/05/2012";"12/05/2016"
"DISTRITO";"151";"PARTIDO MOVIMIENTO POPULAR JUJEÑO ";"JUJUY";"JUNTA ELECTORAL";"SUPLENTE";"LOAIZA";"JOSE ALBERTO";"10339860";"21/05/2011";"21/05/2015"
"DISTRITO";"1";"MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO";"SAN JUAN";"COMITE PROVINCIA";"SECRETARIO POLITICO";"ILLANES";"JUAN";"10340619";"06/04/2014";"06/04/2016"
"DISTRITO";"41";"PARTIDO FRENTE GRANDE";"RÍO NEGRO";"MESA EJECUTIVA PROVINCIAL";"PRESIDENTE";"RIGONI";"MABEL INES";"10341179";"17/12/2012";"16/12/2014"
"NACIONAL";"54";"PARTIDO DE LA VICTORIA                              ";"CAPITAL FEDERAL";"Mesa Ejecutiva Nacional";"Vicepresidente 1º";"JUAN JOSÉ";"GONZALEZ GAVIOLA";"10350481";"28/02/2011";"28/02/2015"
"DISTRITO";"54";"PARTIDO DE LA VICTORIA";"MENDOZA";"MESA EJECUTIVA PROVINCIAL";"PRESIDENTE";"GONZALEZ";"JUAN HORACIO";"10350481";"10/02/2013";"10/02/2017"
"DISTRITO";"183";"PARTIDO DEMÓCRATA INDEPENDIENTE";"SAN LUIS";"JUNTA DE GOBIERNO";"APODERADO";"SORIA";"HÉCTOR JOSÉ";"10351371";"05/10/2010";"05/10/2012"
"DISTRITO";"218";"PARTIDO FE";"MENDOZA";"CONSEJO EJECUTIVO";"VICEPRESIDENTE";"RIBBERT";"ENRIQUE RODOLFO";"10352426";"10/01/2014";"10/01/2018"
"DISTRITO";"320";"MAREA POPULAR";"CAPITAL FEDERAL";"Junta Promotora";"Promotor/a";"MANUEL DOMINGO";"MARTINEZ";"10353399";;
"DISTRITO";"321";"PROYECTO SUR";"CAPITAL FEDERAL";"Mesa Directiva";"Delegado/a";"PATRICIA CECILIA";"WALSH";"10353631";"03/06/2013";"03/06/2015"
"DISTRITO";"54";"PARTIDO DE LA VICTORIA                              ";"CAPITAL FEDERAL";"Congreso de Distrito";"Congresal Titular";"NELIDA ESTER";"HUARTE";"10355041";"04/09/2013";"04/09/2017"
"DISTRITO";"41";"PARTIDO FRENTE GRANDE";"ENTRE RÍOS";"MESA  DIRECTIVA PROVINCIAL ";"VOCAL ";"BOHMER";"BERNARDO ARTURO";"10356026";"25/05/2011";"25/05/2015"
"DISTRITO";"3";"Union Civica Radical";"BUENOS AIRES";"Delegado/a suplente";"Convencion Provincial";"JORGE C.";"GOÑI";"10356805";"25/10/2012";"25/10/2014"
"DISTRITO";"6";"PARTIDO INTRANSIGENTE";"BUENOS AIRES";"Comité de Provincia";"Delegado/a Titular";"RAUL EDUARDO";"SCUFFI";"10356882";"03/03/2013";"03/03/2015"
"DISTRITO";"190";"COMPROMISO SOCIAL";"SANTIAGO DEL ESTERO";"MESA DIRECTIVA PROVINCIAL";"SECRETARIO";"TRICARICO";"ALFONSO HECTOR";"10358429";"21/07/2009";"21/07/2013"
"DISTRITO";"64";"PRO-PROPUESTA REPUBLICANA";"BUENOS AIRES";"Concejo Directivo Provincial";"Vocal";"PEDRO L.";"BUONSANTE";"10362036";"27/03/2011";"27/03/2015"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"CORDOBA";"CONGRESO PROVINCIAL";"TITULAR";"PATIÑO";"LILIA ZULMA";"10364045";"01/08/2012";"31/07/2014"
"DISTRITO";"72";"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR";"CAPITAL FEDERAL";"Congreso";"Delegado/a";"HORACIO HECTOR";"FERNANDEZ";"10365167";"12/04/2014";"12/04/2016"
"DISTRITO";"181";"PARTIDO CAMBIO CÓRDOBA";"CORDOBA";"CONSEJO PROVINCIAL            MESA EJECUTIVA";"TITULAR";"FRIGERIO";"SILVIA RAQUEL";"10365826";"21/08/2011";"21/08/2015"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"SANTA FE";"JUNTA EJECUTIVA PROVINCIAL";"SECRETARIA CULTURA";"ZAMARINI";"MIGUEL ANGEL";"10372189";"29/06/2012";"29/06/2014"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"JUJUY";"CONGRESO NACIONAL";"TITULAR";"CAVADINI";"EDUARDO VICTOR";"10375634";"12/08/2011";"12/08/2015"
"NACIONAL";"63";"ES POSIBLE";"SAN LUIS";"Consejo Nacional";"Presidente/a";"JOSEFINA DEL VALLE";"ALDANA";"10375773";"30/03/2011";"30/03/2015"
"DISTRITO";"63";"ES POSIBLE";"SAN LUIS";"CONSEJO PROVINCIAL";"PRESIDENTE";"DEL VALLE ALDANA";"JOSEFINA";"10375773";"18/10/2010";"18/10/2014"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"CORDOBA";"CONGRESO NACIONAL";"TITULAR";"MILISENDAALONSO";"CESAR ENRIQUE";"10376397";"01/08/2012";"31/07/2014"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"CORDOBA";"CONGRESO PROVINCIAL";"TITULAR";"MILISENDA ALONSO";"CESAR ENRIQUE";"10376397";"01/08/2012";"31/07/2014"
"DISTRITO";"69";"GEN ";"CATAMARCA";"COMITÉ EJECUTIVO";"VICEPRESIDENTE ";"GERMAN";"JORGE OSVALDO";"10376977";"19/06/2013";"19/06/2015"
"DISTRITO";"69";"GEN ";"CATAMARCA";"JUNTA EJECUTIVA NACIONAL";"TITULAR";"GERMAN";"JORGE OSVALDO";"10376977";"19/06/2013";"19/06/2015"
"DISTRITO";"199";"FRENTE CÍVICO DE CÓRDOBA";"CORDOBA";"ASAMBLEA PROVINCIAL";"TITULAR";"PALLA";"OSCAR ALBERTO";"10377203";"DICIEMBRE.2012 A DICIEMBRE. 2014";
"DISTRITO";"199";"FRENTE CÍVICO DE CÓRDOBA";"CORDOBA";"ASAMBLEA PROVINCIAL";"SUPLENTE";"HARO";"NORMA HAYDEE";"10377481";"DICIEMBRE.2012 A DICIEMBRE. 2014";
"DISTRITO";"233";"PARTIDO FE";"CORDOBA";"CONSEJO DE DISTRITO";"SECRETARIO ADJUNTO DE ORGANIZACIÓN";"SEGOVIA";"LUIS ALBERTO";"10377730";"05/06/2013";"05/06/2015"
"DISTRITO";"199";"FRENTE CÍVICO DE CÓRDOBA";"CORDOBA";"JUNTA PROVINCIAL";"SECRETARIO TITULAR";"MAZZARELLA";"SUSANA DEL VALLE";"10378303";"DICIEMBRE.2012 A DICIEMBRE. 2014";
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"RÍO NEGRO";"CONGRESO NACIONAL";"SUPLENTE";"BETHERNCOURT";"MARIA ESTER";"10381618";"16/03/2012";"16/03/2016"
"DISTRITO";"152";"PARTIDO DE LA CONCORDIA SOCIAL";"MISIONES";"PARLAMENTO PARTIDARIO";"TITULAR";"PERIE";"FRANCISCO ANIBAL";"10383540";"31/12/2011";"31/12/2013"
"DISTRITO";"66";"PARTIDO SOLIDARIO                              ";"CAPITAL FEDERAL";"Tribunal de Conducta";" ";"LILIANA MABEL";"CARPENZANO";"10386122";"24/08/2012";"24/06/2016"
"DISTRITO";"47";"COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA";"NEUQUÉN";"Comisión de Etica";"NO CONSTA ";"PINTO";"OLGA ISABEL";"10390057";"22/05/2012";"22/05/2014"
"DISTRITO";"151";"PARTIDO MOVIMIENTO POPULAR JUJEÑO ";"JUJUY";"JUNTA EJECUTIVA PROVINCIAL";"TESORERO";"ARGAÑARAZ";"MARIO C.";"10390435";"21/05/2011";"21/05/2015"
"DISTRITO";"277";"Partido del Trabajo y del Pueblo";"BUENOS AIRES";"Comité de Distrito";"Secretario";"JORGE";"SMITH";"10391415";"18/09/2011";"18/09/2013"
"DISTRITO";"292";"PARTIDO POPULAR";"BUENOS AIRES";"Consejo Provincial";"Presidente/a";"JAIME ISAAC ";"ALPER";"10392617";"26/05/2013";"26/05/2017"
"DISTRITO";"178";"MOVIMIENTO DE ACCIÓN PROVINCIAL";"CATAMARCA";"CONSEJO PROVINCIAL";"VICEPRESIDENTE";"MAS";"JAIME ROBERTO";"10393500";"18/08/2010";"18/08/2014"
"DISTRITO";"233";"PARTIDO FE";"CORDOBA";"CONGRESO DE DISTRITO";"MIEMBRO TITULAR";"PANZOLATO";"ALDO BAUTISTA";"10397601";"05/06/2013";"05/06/2015"
"DISTRITO";"234";"RED POR BUENOS AIRES";"CAPITAL FEDERAL";"Mesa Ejecutiva";"Presidente";"ABEL CLAUDIO";"FATALA";"10400210";"21/12/2010";"21/12/2012"
"DISTRITO";"178";"ACCIÓN POR LA REPÚBLICA";"CORDOBA";"ASAMBLEA PROVINCIAL";"SECRETARIO";"CASTRO";"JORGE HUGO";"10400430";"SEP.2012 A AGOSTO 2014";
"DISTRITO";"67";"KOLINA";"SANTA CRUZ";"CONSEJO CENTRAL";"VICEPRESIDENTE";"ROJAS";"MIRTA NOEMI DEL VALLE";"10402629";"17/08/2013";"17/08/2015"
"DISTRITO";"182";"PARTIDO DEL FRENTE";"LA PAMPA";"MESA EJECUTIVA PROVINCIAL";"SUPLENTE";"CERVELLINI";"JORGE EDUARDO";"10403210";"11/03/2013";"11/03/2015"
"DISTRITO";"63";"ES POSIBLE";"CAPITAL FEDERAL";"Concejo Metropolitano";"Presidente/a";"ANTONIO VICTOR SALVADOR";"SETTE";"10403843";"18/10/2013";"18/10/2017"
"DISTRITO";"169";"PARTIDO PROYECTO POPULAR";"MISIONES";"JUNTA EJECUTIVA PROVINCIAL";"VICEPRESIDENTE";"WALL";"JOSÉ MIGUEL";"10404599";"26/03/2011";"26/03/2015"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL";"ENTRE RÍOS";"COMITÉ PROVINCIAL";"SECRETARIO";"RUDA";"ELIAS EDUARDO";"10405381";"11/11/2012";"11/11/2014"
"NACIONAL";"61";"IZQUIERDA POR UNA OPCION SOCIALISTA";"CAPITAL FEDERAL";"Congreso Nacional ";;"JOAQUIN ALBERTO";"AQUERRETA ";"10405829";"28/11/2012";"28/11/2016"
"DISTRITO";"163";"BASES Y PRINCIPIOS DEL CHACO";"CHACO";"JUNTA EJECUTIVA PROVINCIAL";"VOCAL TITULAR SEGUNDO";"ALVAREZ";"MARIA ISABEL";"10407678";"03/11/2012";"03/11/2014"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"CHACO";"CONSEJO PROVINCIAL";"SECRETARIO GENERAL";"SOTELO";"JULIO RENE";"10407860";"22/02/2010";"22/02/2012"
"DISTRITO";"47";"COALICIÓN CÍVICA-AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA";"CHACO";"COMISION FISCALIZADORA";"TITULAR 1°";"ZABALA";"CARLOS EDUARDO";"10408015";"12/05/2012";"12/05/2016"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"CHACO";"CONVENCION PROVINCIAL. LISTA INTERNA, AZUL, NARANJA, MORADA. (RESISTENCIA)";"DELEGADO TITULAR";"SAPORITTI";"OLGA ESTHER";"10408101";"10/12/2013";"10/12/2015"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"CHACO";"CONVENCION PROVINCIAL. LISTA INTERNA, AZUL, NARANJA, MORADA. (RESISTENCIA)";"DELEGADO TITULAR";"CABRAL";"DELIA ALICIA";"10408486";"10/12/2013";"10/12/2015"
"DISTRITO";"30";"PARTIDO SOCIALISTA AUTÉNTICO";"SANTA FE";"JUNTA DE GOBIERNO";"APODERADO";"CORTES";"ALBERTO JUAN ";"10409490";"06/02/2012";"06/02/2014"
"DISTRITO";"30";"PARTIDO SOCIALISTA AUTÉNTICO";"SANTA FE";"JUNTA DE GOBIERNO";"PRESIDENTE";"CORTES";"ALBERTO JUAN ";"10409490";"03/03/2012";"03/03/2014"
"DISTRITO";"67";"KOLINA";"LA RIOJA";"CONSEJO CENTRAL";"VOCAL 2°";"SEGURA";"OMAR VICENTE";"10409585";"23/02/2014";"23/02/2016"
"NACIONAL";"61";"IZQUIERDA POR UNA OPCION SOCIALISTA";"CAPITAL FEDERAL";"Congreso Nacional ";;"SANTOS EULOGIO";"REYNOSO";"10409745";"28/11/2012";"28/11/2016"
"DISTRITO";"50";"PARTIDO SOCIALISTA";"RÍO NEGRO";"CENTRO SOCIALISTA BARILOCHE Y ZONA ANDINA";"3° TITULAR";"CONCINA";"LUIS MIGUEL";"10410691";"19/04/2013";"18/04/2015"
"DISTRITO";"64";"PRO- PROPUESTA REPUBLICANA";"SANTA FE";"CONSEJO EJECUTIVO PROVINCIAL";"VICEPRESIDENTE 2°";"BERTOTTO";"LAURA MARÍA";"10410857";"25/04/2011";"25/04/2015"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"SANTA FE";"CONGRESO NACIONAL";"MIEMBRO INTEGRANTE";"ROSCONI";"EDUARDO";"10411078";"27/05/2012";"27/05/2015"
"DISTRITO";"41";"PARTIDO FRENTE GRANDE";"NEUQUÉN";"MESA PROVINCIAL";"VOCAL SUPLENTE 1°";"NEIRA";"JORGE GUSTAVO";"10414870";"20/11/2010";"20/11/2012"
"DISTRITO";"213";"PROPUESTAS PARA MENDOZA";"MENDOZA";"PLENARIO PROVINCIAL. DPTO. TUPUNGATO";"MIEMBRO INTEGRANTE";"GUZMAN";"JUAN DOMINGO";"10415597";"24/05/2013";"24/05/2015"
"NACIONAL";"38";"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                           ";"BUENOS AIRES";"Comité Central";"Presidente";"RAUL FRANCISCO";"BARBIERO";"10415707";"15/11/2013";"15/11/2016"
"DISTRITO";"38";"Movimiento Socialista de los Trabajadores";"BUENOS AIRES";"Comité Central";"Presidente/a";"RAUL FRANCISCO";"BARBIERO";"10415707";"20/04/2013";"20/04/2016"
"DISTRITO";"38";"Movimiento Socialista de los Trabajadores";"BUENOS AIRES";"Comité Central";"Vocal Titular";"RAUL FRANCISCO";"BARBIERO";"10415707";"20/04/2013";"20/04/2016"
"DISTRITO";"38";"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES";"LA RIOJA";"INTERVENIDO 02/06/12 AL 02/12/12 - según oficio s/n° del 07/03/14 se informa prorroga de la intervención, sin figurar fecha desde y hasta cuando.-";"INTERVENTOR";"BARBIERO";"RAUL FRANCISCO";"10415707";"18/09/2009";"19/09/2012"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"LA PAMPA";"CONSEJO PROVINCIAL";"SECRETARIO SUPLENTE";"MALMORIS";"MIGUEL ANGEL";"10416113";"17/10/2009";"17/10/2013"
"DISTRITO";"199";"FRENTE CÍVICO DE CÓRDOBA";"CORDOBA";"JUNTA PROVINCIAL";"SECRETARIO SUPLENTE";"AGOSTI";"JULIO ALBERTO";"10417551";"DICIEMBRE.2012 A DICIEMBRE. 2014";
"DISTRITO";"213";"PROPUESTAS PARA MENDOZA";"MENDOZA";"PLENARIO PROVINCIAL. DPTO. GODOY CRUZ";"MIEMBRO INTEGRANTE";"GUARDIA";"ANGEL RAMON";"10432960";"24/05/2013";"24/05/2015"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"CHUBUT";"COMITÉ CENTRAL PROVINCIAL";"VICEPRESIDENTE 3°";"CHINGOLEO";"NELIDO JOSE";"10434370";"15/12/2012";"15/12/2014"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"LA RIOJA";"CONGRESO PROVINCIAL - RAMA FEMENINA - DPTO. ARAUCO";"TITULAR";"ROMERO";"NIDIA BEATRIZ PAULA";"10435525";"20/12/2012";"20/12/2016"
"DISTRITO";"207";"PARTIDO POR LA SOBERANÍA POPULAR";"JUJUY";"DEPARTAMENTO SANTA BARBARA";"DELEGADO";"LOPEZ";"MARTHA SUSANA";"10436806";"23/04/2013";"23/04/2016"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL";"NEUQUÉN";"MESA DIRECTIVA DEL COMITÉ PROVINCIAL";"TESORERO";"FERNANDEZ";"OLGA HAYDEE";"10437594";"09/03/2013";"09/03/2015"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"RÍO NEGRO";"CONVENCIÓN NACIONAL";"DELEGADO TITULAR";"GODOY";"NILDA NOEMI";"10437782";"10/12/2012";"10/12/2016"
"DISTRITO";"69";"GEN";"TIERRA DEL FUEGO";"COMITÉ EJECUTIVO";"VICEPRESIDENTE";"TORRES SAITZ";"JUAN ANTONIO";"10437887";"02/12/2012";"02/12/2014"
"DISTRITO";"69";"GEN";"TIERRA DEL FUEGO";"COMITÉ EJECUTIVO";"PRESIDENTE";"TORRES SAITZ";"JUAN ANTONIO";"10437887";"04/12/2012";"04/12/2014"
"DISTRITO";"197";"PROPUESTA SALTEÑA";"SALTA";"ASAMBLEA";"SUPLENTE";"LEON";"LUISA";"10440086";"15/12/2012";"15/12/2014"
"DISTRITO";"197";"PROPUESTA SALTEÑA";"SALTA";"ASAMBLEA";"SUPLENTE";"RAMIREZ";"EVA GREGORIA";"10440450";"15/12/2012";"15/12/2014"
"DISTRITO";"12";"PARTIDO COMUNISTA";"CORDOBA";"COMITE DE DISTRITO";"MIEMBRO INTEGRANTE";"ATIENZA";"JORGE CARLOS";"10445747";"17/04/2011";"17/04/2015"
"DISTRITO";"167";"PARTIDO ACCIÓN POPULAR";"CORDOBA";"JUNTA PROVINCIAL";"PRESIDENTE";"RUARTE";"HUGO CESAR";"10447390";"29/08/2010";"28/08/2012"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL ";"LA RIOJA";"TRIBUNAL DE DISCIPLINA";"TITULAR";"MASTORAKI";"DEMETRIO MANUEL";"10448001";"12/08/2012";"11/08/2014"
"DISTRITO";"65";"PARTIDO UNIÓN CELESTE Y BLANCO";"LA RIOJA";"CONGRESALES DE DISTRITO AL PARTIDO NACIONAL";"Congresal Circunscripción 1";"ACOSTA";"MARIA ISABEL";"10448392";"20/07/2012";"20/07/2016"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"LA RIOJA";"MESA DE CONDUCCIÓN";"MIEMBRO INTEGRANTE";"ASÍS FILONZI";"MIGUEL ANGEL";"10448525";"07/10/2010";"07/10/2014"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"LA RIOJA";"CONGRESO PROVINCIAL - DPTO. CAPITAL";"TITULAR";"ASIS";"MIGUEL ANGEL";"10448525";"20/12/2012";"20/12/2016"
"DISTRITO";"12";"PARTIDO COMUNISTA";"LA RIOJA";"COMISION DE ACCION POLITICA";"MIEMBRO INTEGRANTE";"GALVAN";"HUGO NICOLAS";"10448582";"15/06/2013";"15/06/2017"
"DISTRITO";"33";"PARTIDO NACIONALISTA CONSTITUCIONAL UNIR";"LA RIOJA";"JUNTA EJECUTIVA PROVINCIAL";"APODERADO";"BAZAN";"MARIA ISABEL";"10448613";"18/07/2010";"18/07/2012"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"LA RIOJA";"CONGRESO PROVINCIAL - DPTO. CAPITAL";"SUPLENTE";"DELGADO NIETO";"MARIA DEL CARMEN";"10448981";"20/12/2012";"20/12/2016"
"NACIONAL";"19";"PARTIDO CONSERVADOR POPULAR                             ";"CAPITAL FEDERAL";"Comite Nacional";"Secretario de Acción Política";"RAMON";"FRETTE";"10452014";"19/12/2010";"19/12/2014"
"DISTRITO";"154";"PARTIDO OBRERO";"SANTA CRUZ";"COMISIÓN ORGÁNICA";"PRESIDENTE";"DEL PLA";"MIGUEL ANGEL";"10454534";"01/08/2010";"01/08/2014"
"DISTRITO";"184";"PUEBLO NUEVO";"LA PAMPA";"JUNTA DIRECTIVA PROVINCIAL";"VOCAL TITULAR";"CHAPUIS";"MARIA VIRGINIA";"10455209";"04/06/2013";"03/06/2017"
"DISTRITO";"64";"PRO-PROPUESTA REPUBLICANA";"LA PAMPA";"CONSEJO DIRECTIVO";"VICEPRESIDENTE 2°";"CAMPANARI";"OSVALDO";"10455374";"10/06/2011";"10/06/2015"
"DISTRITO";"157";"PARTIDO ACCIÓN CHUBUTENSE";"CHUBUT";"COMITÉ PROVINCIAL";"PRESIDENTE";"GIMENEZ";"PEDRO ABEL";"10455427";"15/12/2012";"15/12/2014"
"DISTRITO";"196";"MAS (+) SAN LUIS";"SAN LUIS";"JUNTA PROVINCIAL";"PRO-SECRETARIA";"RIVADERO";"MARTA BRIGIDA";"10456899";"21/10/2012";"21/10/2013"
"DISTRITO";"3";"UNION CIVICA RADICAL                              ";"CAPITAL FEDERAL";"TRIBUNAL DE CONDUCTA";"SUPLENTE";"JORGE";"FERRONATO";"10457183";"16/12/2013";"16/12/2015"
"DISTRITO";"273";"Movimiento  Integración Latinoamericana de Expresión Social (M.I.L.E.S.)";"BUENOS AIRES";"Mesa Provincial ";" ";"RAUL GUILLERMO ";"ARMENDARIZ ";"10460524";"19/05/2011";"19/05/2014"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"NEUQUÉN";"CONSEJO PROVINCIAL";"SECRETARIO INTERIOR";"PEREZ";"FLORENCIO HECTOR";"10461972";"05/07/2010";"05/07/2013"
"NACIONAL";"61";"IZQUIERDA POR UNA OPCION SOCIALISTA";"CAPITAL FEDERAL";"Congreso Nacional ";;"MIRTHA DEL VALLE";"SOLOHAGA";"10462329";"28/11/2012";"28/11/2016"
"DISTRITO";"61";"IZQUIERDA POR UNA OPCIÓN SOCIALISTA";"LA RIOJA";"COMITÉ CENTRAL";"APODERADO";"SOLOHAGA";"MIRTHA DEL VALLE";"10462329";"08/06/2011";"08/06/2015"
"DISTRITO";"67";"KOLINA";"TIERRA DEL FUEGO";"INTERVENCIÓN";"INTERVENTOR";"SCHABAS";"PABLO EDUARDO";"10462393";"19/05/2013";"26/09/2014"
"DISTRITO";"189";"PARTIDO DEL TRABAJO Y LA EQUIDAD";"CAPITAL FEDERAL";"Junta de Gobierno Provincial";"Vicepresidente/a";"JORGE EDUARDO";"CASABE";"10462527";"09/07/2013";"09/07/2017"
"DISTRITO";"41";"PARTIDO FRENTE GRANDE";"ENTRE RÍOS";"MESA  DIRECTIVA PROVINCIAL ";"VOCAL SUPLENTE";"LUCERO";"ALBERTO DANIEL";"10462693";"25/05/2011";"25/05/2015"
"DISTRITO";"3";"UNION CIVICA RADICAL                              ";"CAPITAL FEDERAL";"Tribunal Electoral";"Delegado Suplente";"ANTONIO CARLOS";"MARELLI";"10462984";"16/12/2013";"16/12/2015"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"SANTA FE";"CONSEJO EJECUTIVO PROVINCIAL";"MIEMBRO INTEGRANTE";"PUCHETA";"HUGO FERNANDO";"10472711";"27/05/2012";"27/05/2015"
"DISTRITO";"167";"FEDERAL FUEGUINO ";"TIERRA DEL FUEGO";"JUNTA PARTIDARIA";"Miembro Suplente";"AVALOS";"JOSÉ MARÍA ";"10473231";"04/09/2012";"0/09/14"
"DISTRITO";"2";"PARTIDO JUSTICIALISTA";"JUJUY";"CONGRESO NACIONAL";"TITULAR";"MACEDO";"HORACIO ANTONIO";"10473744";"12/08/2011";"12/08/2015"
"DISTRITO";"3";"UNIÓN CÍVICA RADICAL";"MISIONES";"COMITÉ CENTRAL PROV. MESA EJECUTIVA";"VICEPRESIDENTE";"MEILI";"RICARDO OMAR";"10474869";"20/05/2012";"20/05/2014"
"NACIONAL";"3";"UNION CIVICA RADICAL                              ";"CAPITAL FEDERAL";"Mesa Directiva Nacional";"Protesorero";"CRISTINA ROSALIA";"GUEVARA";"10475305";"13/12/2013";"13/12/2017"
"DISTRITO";"54";"PARTIDO DE LA VICTORIA                              ";"CAPITAL FEDERAL";"Congreso de Distrito";"Congresal Titular";"AMALIA BEATRIZ";"MOLINARI";"10475535";"04/09/2013";"04/09/2017"
"DISTRITO";"290";"Partido Fe";"BUENOS AIRES";"Secretario/a de Organización";"Consejo Provincial";"JORGE ALBERTO";"FERREYRA";"10476433";"17/05/2013";"17705/17"
"DISTRITO";"67";"KOLINA";"RÍO NEGRO";"CONSEJO CENTRAL";"VICEPRESIDENTE";"GRANDOSO";"MARIA INES";"10477018";"07/06/2013";"07/06/2015"
"DISTRITO";"67";"KOLINA";"RÍO NEGRO";"MESA EJECUTIVA";"VICEPRESIDENTE";"GRANDOSO";"MARIA INES";"10477018";"07/06/2013";"07/06/2015"
"DISTRITO";"277";"Partido del Trabajo y del Pueblo";"BUENOS AIRES";"Tribunal de Disciplina";"Delegado/a Titular";"PEDRO";"ZAMPAROLO";"10479061";"18/09/2011";"18/09/2013"
"DISTRITO";"5";"DEMOCRATA CRISTIANO ";"CORRIENTES";"Convencion Nacional";"Delegado/a Titular";"PEDRO LUIS";"ROMERO";"10485362";"08/10/2012";"08/10/2015"
"DISTRITO";"152";"PARTIDO DE LA CONCORDIA SOCIAL";"MISIONES";"ORGANO EJECUTIVO";"VOCAL SUPLENTE";"ROS";"SANTIAGO EMILIO";"10490686";"31/12/2011";"31/12/2013"
"DISTRITO";"197";"PROPUESTA SALTEÑA";"SALTA";"CONSEJO DIRECTIVO";"VOCAL TITULAR";"HERRERA";"ROSA";"10493506";"15/12/2012";"15/12/2014"
"DISTRITO";"54";"PARTIDO DE LA VICTORIA";"TIERRA DEL FUEGO";"CONGRESO DE DELEGADOS";"PRESIDENTE Y TESORERO";"DURE";"HUGO RICARDO RAMON";"10499528";"28/05/2013";"28/05/2015"
"DISTRITO";"54";"PARTIDO DE LA VICTORIA";"TIERRA DEL FUEGO";"CONGRESO DE DELEGADOS";"SECRETARIO 1°";"VIVEROS";"NORA AMELIA ";"10503114";"28/05/2013";"28/05/2015"
"DISTRITO";"162";"PARTIDO DE UNIDAD CATAMARQUEÑA";"CATAMARCA";"CONSEJO PROVINCIAL ";"VOCAL TITULAR 11°";"VICENTE";"JAVIER";"10505634";"29/08/2013";"28/08/2015"
"DISTRITO";"66";"PARTIDO SOLIDARIO";"MENDOZA";"COMISION REVISORA DE CUENTAS";"TITULAR";"DI CESARE";"NORMA DE LOURDES";"10509386";"12/12/2013";"12/12/2017"
"DISTRITO";"69";"GEN";"ENTRE RÍOS";"CONVENCIÓN PROVINCIAL";"DELEGADO";"ARNOLD";"LILA ESPERANZA";"10512110";"03/02/2013";"03/02/2015"
